adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,1
Afghanistan,AFG,66.026881,33.831602,04.05.2020,"[https://www.gov.uk/foreign-travel-advice/afghanistan]
[https://af.usembassy.gov/covid-19-information/]","***International restrictions:
Commercial flights into/out of Kabul have re-commenced.
Point-of-entry screening has been introduced. Those who are and who show a temperature of more than 38ºC may be sent for isolation direct to one of 2 national hospitals (Kabul Infectious Disease and Afghan-Japan Communicable Disease Hospital in Kabul) or 5 provincial hospitals. These hospitals are outside of the Enhanced Security Zone. Currently the Afghan-Japan Communicable Disease Hospital is the lead hospital. People arriving from other countries and who do not show symptoms of COVID-19 are advised to self-quarantine at home for 14 days. 

*****Internal Restrictions
Domestic flights are currently operating on a limited basis. Keep checking with local travel agents and airlines for the most up to date information on flight operations. On 28 March, restrictions came into effect in Kabul limiting movement. These include halting all public buses carrying more than 4 people, closing wedding halls and shrines, with only critical services including food shops remaining open. Travel to and from Kabul to other provinces in Afghanistan has also been stopped. You will need to give a valid reason (such as medical, security or caring for someone) for leaving your residence if asked by the authorities. Keep checking local media for the most up to date information on restrictions.",20200504,"People arriving from other countries and who do not show symptoms of COVID-19 are advised to self-quarantine at home for 14 days.  If you have any symptoms, you are instructed to contact the Ministry of Public Health and seek care.",COVID-19 negative certification not required / not known,2
Akrotiri,xUK,32.923365,34.638024,,,,,,,3
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,4
Åland Islands,ALA,19.80946,60.15449,,,,,,,5
Albania,ALB,20.066643,41.138926,25.06.2020,"[https://www.gov.uk/foreign-travel-advice/albania]
[https://al.usembassy.gov/updates_covid19/]","All regular international flights from and to Tirana International Airport (TIA) will resume on June 22. (FG, 21.06.2020). 

*****International restrictions:
All ferries from Northern Italy and all red areas remain suspended. Until further notice
All travellers entering the country who have travelled to WHO high-risk regions for COVID-19 in the 14 days prior to arrival have been ordered to self-quarantine for 14 days.
In red zones (Tirana, Durres, Shkoder, Kruja and Kurbin), a curfew is in place between 21.00 and 05.00 Monday-Friday. In green zones citizens may move freely without permission and without a curfew Monday-Friday. 
All travellers from Italy are barred entry.
There are sanitary checks at all border controls (land, airports, ports). 

 *****Internal restrictions:
 The state of emergency has been extended until 23 June. Banks, construction firms, call centres, grocery shops and supermarkets, transport companies, bakeries, pharmaceutical services and textiles manufacturers remain open during the lockdown.  Mass transport, cinemas, theatres, nightclubs, swimming pools, weddings, conferences and public hearings won't reopen until June 23.
It is compulsory countrywide to wear a facemask when in public places. 

*****Relaxation in restrictions: 
On 1 June, the Government of Albania lifted the restrictions which had been put in place because of COVID-19. Land borders are open with the exception of the border with Greece which is expected to open on 1 July.  
Shopping centres, hairdressers and dentists are open and people will be allowed to travel by car without a permit from 11 May.  Bars and restaurants are open but serve only in their outdoor spaces, respecting social distancing until 17.30 (when the night curfew starts), from 19 May.  More than 600 business activities have restarted including farming, repair shops, mining, fishing, food and fish processing as well as other retailers.  High schools will open from 18 May until 5 June for graduating students. No more than 15 students per classroom.  No time restriction for movement in green areas.
 No more permit needed to go outside in green areas.  No more permit needed to go outside from 5.00 until 21.00 during the week in red areas (Durres, Kruja and Kurbin, Shkoder and Tirana).  Movement in and out of red zones is banned. 
Parks, internet centres and gyms also opened on Monday 1 June under new hygiene guidelines.",20200625,"There is no general requirement for travelers returning to Albania to self-quarantine. Quarantine will only apply in specific cases when ordered by health authorities.
Those who are concerned they may have contracted COVID-19 through exposure to other vectors are asked to self-quarantine at home and contact the Albanian government at the medical emergency phone number 127, should symptoms consistent with the virus appear.  English speaking staff are available to assist non-Albanian speakers.
An official isolation and treatment site has been designated at the Infectious Disease Hospital at Mother Teresa University Hospital. The National Medical Emergency Center is responsible for the physical transfer of any patients suspected to be infected with the virus. No private hospitals are authorized to manage COVID-19 cases. There is no official information available about the length of time individuals will be held in these temporary quarantine spaces.",COVID-19 negative certification not required / not known,6
Algeria,DZA,2.678028,28.157361,25.06.2020,"[https://www.gov.uk/foreign-travel-advice/algeria]
[https://dz.usembassy.gov/covid-19-information/]","Algeria's government eased the country's curfew on Sunday but said land and sea borders will remain closed. (The National, 15.06.2020)  Algiers airport closed until 5 July 2020 (Qatar Airways).

*****International restrictions:
All international flights are suspended; no date has been set yet for the resumption of operations. Despite announcements of French carrier Air France that a daily liaison with Paris would start on 11 May and opening of commercial reservations on German and Swiss carriers Lufthansa and Swiss Air from 1 June, transport minister on 9 May has confirmed that the airspace remains closed depending on the evolution of the outbreak. French embassy on 10 May announced that Air France flights will be arranged for French citizens, dual nationalities and residency permit holders (excluding visa holders).
All ferries are suspended.
Land borders are closed.
Repatriation flights are permitted. Foreign governments and local diplomatic missions are expected to charter special flights as well Algerian authorities for their citizens.
Upon arrival, repatriated Algerian nationals will be subject to a 14-day quarantine in dedicated facilities.

*****Internal restrictions:
All land borders remain closed and the suspension of non-cargo domestic and international air and maritime travel remains in place. People are required to wear a protective mask when in public and an 8pm to 5am curfew is in effect in 29 of Algeria’s 48 provinces, including in Algiers. The other provinces covered by the curfew are: Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.
The Ministry of Health has advised people to dial 3030 if they suspect they are symptomatic. Visit the website of the Algerian Ministry of Health for updates and its dedicated webpage for additional information on these measures. 
On 10 May it was announced that all education facilities and courses are suspended until at least September 2020.


*****Relaxation in restrictions   
The Algerian government has started to ease the measures it had undertaken to limit the spread of COVID-19 allowing more businesses to reopen and allowing public transportation in cities to resume, but the lifting of restrictions will be gradual and dependent on the evolution of COVID-19 cases in Algeria.
A number of businesses have been allowed to reopen, including pastry shops, fashion stores, household items and home appliances stores, cosmetics stores, furniture as well as bookstores and hardware stores from 24 April. Nevertheless, the majority of these businesses in 11 provinces were closed again from 3 May due to members of the public and shop owners not adhering to social-distancing rules and other preventive measures as requested by the government.
Facemasks are compulsory within any commercial establishment in Algiers and Constantine provinces. In Constantine province, facemasks are compulsory for customers in shops as well as in administration buildings, while in Algiers province facemasks have to be worn only by employees.",20200625,"As of March 18, 2020, Algerian authorities announced that they are quarantining known cases of confirmed COVID-19 within its borders.",COVID-19 negative certification not required / not known,7
American Samoa,ASM,-170.71806,-14.300686,25.06.2020,[https://www.americansamoa.gov/immigration-info],"****International Restrictions:
Flights to Samoa are suspended until further notice. Entry permits for foreign nationals will continue to be suspended. All other inbound travelers shall have an OK Board issued prior to traveling to American Samoa. OK Board requirements will include submission of copies of itinerary, passport (including stamped pages), payment of $50 fee and effective April 1, 2020, a health clearance from a verifiable physician with proof of a negative COVID-19 test. Travelers from affected US states will be subject to screening and quarantine at the discretion of DOH physicians. For covid-19 related workers, quarantines will not be imposed.

*****Internal restrictions: 
Social distancing methods are to be encouraged such as video conferencing, phone calls, emails for communication. All off-island medical referrals to New Zealand are suspended. The option will be considered only for medical emergencies and be at the discretion of LBJ physicians. All public gatherings are suspended until further notice. This includes, but is not limited to, bingo halls, rallies, political events, theaters, traditional gatherings, parks and recreation areas, flight night gatherings, and major sponsored events. Only private family gatherings of no more than ten (10) people will be permitted. DPS is tasked with
ensuring that public gatherings disperse. All businesses will only be allowed to operate from 6am to 6pm. Only those businesses that impact food security are exempted from operating hours restrictions. Restaurants, bars, and nightclubs will be limited to no more than ten (10) person occupancy. Businesses are encouraged to keep their facilities sanitized. All drive-thru and takeaway restaurants may remain open until 10:00 pm daily. Further advisories will be issued from the Governor that may adjust restrictions on businesses as necessary. All public transportation services are to cease operations at 6pm except for buses under contract with Starkist to provide transportation for employees of the canneries.During hours of operation, buses and taxis must institute social distancing practices. Each bus and taxi may only operate at half the seating capacity. 
",20200625,,COVID-19 negative certification required for entering the country,8
Andorra,AND,1.576279,42.545479,25.06.2020,"[https://www.gov.uk/foreign-travel-advice/andorra]
[https://al.usembassy.gov/updates_covid19/]","*****International restrictions: 
Andorra is a land-locked country, with common borders with Spain and France. Check travel entry restrictions for these two countries for Andorra.

*****Internal restrictions:
On 16 March the Andorran authorities announced a series of preventive measures, including the closure of most shops other than those selling food or other essential items such as pharmacies. This follows the cancellation of all leisure, cultural and sports activities organised by public administrations, and the closure of ski resorts. Public transport is operating at a reduced capacity and schools, higher education institutions and vocational training centres are closed.",20200625,,COVID-19 negative certification not required / not known,9
Angola,AGO,17.577532,-12.337524,25.06.2020,"[https://africa.cgtn.com/2020/03/19/angola-to-suspend-international-flights-circulation-at-land-borders/]
[https://ao.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/angola]","*****International Restrictions
All scheduled international flights to and from Angola are suspended until further notice.
Angola’s borders remain closed, except for the movement of essential goods and services, humanitarian aid and the transportation of sick patients.

*****Internal restrictions:
The government of Angola has implemented measures to limit the spread of COVID-19.  Schools and universities are closed until further notice, and sporting events, festivals, and gatherings larger than 50 people have been banned. 
Angola’s State of Emergency ended on 25 May. However, from 26 May, a ‘situation of public calamity’ was declared, which retains many restrictions and public health measures to limit the spread of the virus: Citizens are encouraged to stay at home and apply social distancing practices. Face masks are obligatory in shops, public buildings, enclosed spaces and on public transport. Angola’s external borders remain closed and restrictions are in place on travel into and out of the Luanda capital region. A phased resumption of businesses, shops, transport, schools, cultural and leisure activities, is foreseen over the coming weeks. ",20200625,"The Government of Angola has set up two quarantine sites just outside of the capital city of Luanda. Prior to the suspension of air travel on March 20, 2020, any person of any nationality who arrived in Angola with symptoms or who had traveled to China, South Korea, Iran, Italy, Portugal, Spain, or France since the start of the outbreak was not allowed to enter the country before a mandatory 14-day quarantine period has passed.  Travelers who did not wish to undergo quarantine were given the option to leave Angola and travel to their home country or to a country of their choice.",COVID-19 negative certification not required / not known,10
