Date,Price
2019-01-01,61.14
2020-01-02,61.17
2020-01-03,63
2020-01-06,63.27
2020-01-07,62.7
2020-01-08,59.65
2020-01-09,59.56
2020-01-10,59.02
2020-01-13,58.17
2020-01-14,58.34
2020-01-15,57.86
2020-01-16,58.52
2020-01-17,58.55
2020-01-21,58.25
2020-01-22,56.76
2020-01-23,55.51
2020-01-24,54.09
2020-01-27,53.09
2020-01-28,53.33
2020-01-29,53.29
2020-01-30,52.19
2020-01-31,51.58
2020-02-03,50.06
2020-02-04,49.59
2020-02-05,50.87
2020-02-06,50.94
2020-02-07,50.34
2020-02-10,49.59
2020-02-11,50
2020-02-12,51.13
2020-02-13,51.41
2020-02-14,52.03
2020-02-18,52.1
2020-02-19,53.31
2020-02-20,53.77
2020-02-21,53.36
2020-02-24,51.36
2020-02-25,49.78
2020-02-26,48.67
2020-02-27,47.17
2020-02-28,44.83
2020-03-02,46.78
2020-03-03,47.27
2020-03-04,46.78
2020-03-05,45.9
2020-03-06,41.14
2020-03-09,31.05
2020-03-10,34.47
2020-03-11,33.13
2020-03-12,31.56
2020-03-13,31.72
2020-03-16,28.96
2020-03-17,26.96
2020-03-18,20.48
2020-03-19,25.09
2020-03-20,19.48
2020-03-23,23.33
2020-03-24,21.03
2020-03-25,20.75
2020-03-26,16.6
2020-03-27,15.48
2020-03-30,14.1
2020-03-31,20.51
2020-04-01,20.28
2020-04-02,25.18
2020-04-03,28.36
2020-04-06,26.21
2020-04-07,23.54
2020-04-08,24.97
2020-04-09,22.9
2020-04-13,22.36
2020-04-14,20.15
2020-04-15,19.96
2020-04-16,19.82
2020-04-17,18.31
2020-04-20,-36.98
2020-04-21,8.91
2020-04-22,13.64
2020-04-23,15.06
2020-04-24,15.99
2020-04-27,12.17
